"SMART LATHE EXPORT"

"Dashboards","machine"
"Parameters","rpm"

"timestamp","rpm"
"2026-06-12 09:20:14.222323","0.0"
"2026-06-12 09:20:23.313679","0.0"
"2026-06-12 09:20:32.461053","0.0"
"2026-06-12 09:20:42.586966","0.0"
"2026-06-12 09:20:51.696799","0.0"
"2026-06-12 09:21:00.788123","0.0"
"2026-06-12 09:21:09.871831","0.0"
"2026-06-12 09:21:18.929374","0.0"
"2026-06-12 09:21:28.007100","0.0"
"2026-06-12 09:21:37.086907","0.0"
"2026-06-12 09:21:46.161862","0.0"
"2026-06-12 09:21:55.255050","0.0"
"2026-06-12 09:22:04.337839","0.0"
"2026-06-12 09:22:13.507346","0.0"
"2026-06-12 09:22:23.570149","0.0"
"2026-06-12 09:22:32.672700","0.0"
"2026-06-12 09:22:41.759437","0.0"
"2026-06-12 09:22:50.822175","0.0"
"2026-06-12 09:22:59.894977","0.0"
"2026-06-12 09:23:08.979706","0.0"
"2026-06-12 09:23:18.137380","0.0"
"2026-06-12 09:23:27.250275","0.0"
"2026-06-12 09:23:36.373815","0.0"
"2026-06-12 09:23:58.136039","0.0"
"2026-06-12 09:24:07.232575","0.0"
"2026-06-12 09:24:16.327494","0.0"
"2026-06-12 09:24:30.373949","0.0"
"2026-06-12 09:24:39.516807","0.0"
"2026-06-12 09:24:48.623240","0.0"
"2026-06-12 09:24:57.720524","0.0"
"2026-06-12 09:25:06.812376","0.0"
"2026-06-12 09:25:15.894394","0.0"
"2026-06-12 09:25:25.001315","0.0"
"2026-06-12 09:25:34.122091","0.0"
"2026-06-12 09:25:43.259468","0.0"
"2026-06-12 09:25:55.199649","0.0"
"2026-06-12 09:26:04.279784","0.0"
"2026-06-12 09:26:13.473490","0.0"
"2026-06-12 09:26:23.579616","0.0"
"2026-06-12 09:26:32.674780","0.0"
"2026-06-12 09:26:41.765963","0.0"
"2026-06-12 09:26:50.833778","0.0"
"2026-06-12 09:26:59.912424","0.0"
"2026-06-12 09:27:09.011026","0.0"
"2026-06-12 09:27:18.142489","0.0"
"2026-06-12 09:27:27.260893","0.0"
"2026-06-12 09:27:36.381852","0.0"
"2026-06-12 09:27:45.583426","0.0"
"2026-06-12 09:27:54.660760","0.0"
"2026-06-12 09:28:03.749881","0.0"
"2026-06-12 09:28:12.814311","0.0"
"2026-06-12 09:28:21.949078","0.0"
"2026-06-12 09:28:31.051489","0.0"
"2026-06-12 09:28:40.136627","0.0"
"2026-06-12 09:28:49.235298","0.0"
"2026-06-12 09:28:58.330698","0.0"
"2026-06-12 09:29:07.504378","0.0"
"2026-06-12 09:29:17.609323","0.0"
"2026-06-12 09:29:26.756287","0.0"
"2026-06-12 09:29:35.884797","0.0"
"2026-06-12 09:29:44.986197","0.0"
"2026-06-12 09:29:54.080672","0.0"
"2026-06-12 09:30:03.176083","0.0"
"2026-06-12 09:30:12.264802","0.0"
"2026-06-12 09:30:21.373966","0.0"
"2026-06-12 09:30:30.516953","0.0"
"2026-06-12 09:30:40.581480","0.0"
"2026-06-12 09:30:49.685975","0.0"
"2026-06-12 09:30:58.754970","0.0"
"2026-06-12 09:31:07.856384","0.0"
"2026-06-12 09:31:16.961149","0.0"
"2026-06-12 09:31:26.150246","0.0"
"2026-06-12 09:31:35.278762","0.0"
"2026-06-12 09:31:44.376715","0.0"
"2026-06-12 09:31:53.546591","0.0"
"2026-06-12 09:32:02.627467","0.0"
"2026-06-12 09:32:11.703929","0.0"
"2026-06-12 09:32:20.784086","0.0"
"2026-06-12 09:32:29.877479","0.0"
"2026-06-12 09:32:39.017287","0.0"
"2026-06-12 09:32:48.134292","0.0"
"2026-06-12 09:32:57.251340","0.0"
"2026-06-12 09:33:06.340965","0.0"
"2026-06-12 09:33:15.538615","0.0"
"2026-06-12 09:33:24.622264","0.0"
"2026-06-12 09:33:33.725590","0.0"
"2026-06-12 09:33:42.829100","0.0"
"2026-06-12 09:33:51.935282","0.0"
"2026-06-12 09:34:01.035954","0.0"
"2026-06-12 09:34:10.116359","0.0"
"2026-06-12 09:34:19.211814","0.0"
"2026-06-12 09:34:28.285369","0.0"
"2026-06-12 09:34:37.368965","0.0"
"2026-06-12 09:34:46.529709","0.0"
"2026-06-12 09:34:55.647805","0.0"
"2026-06-12 09:35:04.722954","0.0"
"2026-06-12 09:35:13.853554","0.0"
"2026-06-12 09:35:23.286406","0.0"
"2026-06-12 09:35:32.471550","0.0"
"2026-06-12 09:35:42.574947","0.0"
"2026-06-12 09:35:51.651691","0.0"
"2026-06-12 09:36:00.745620","0.0"
"2026-06-12 09:36:09.818499","0.0"
"2026-06-12 09:36:18.901094","0.0"
"2026-06-12 09:36:28.021734","0.0"
"2026-06-12 09:36:37.121287","0.0"
"2026-06-12 09:36:46.173234","0.0"
"2026-06-12 09:36:55.264516","0.0"
"2026-06-12 09:37:56.374667","0.0"
"2026-06-12 09:38:05.546277","0.0"
"2026-06-12 09:38:14.633092","0.0"
"2026-06-12 09:38:23.703405","0.0"
"2026-06-12 09:38:32.815433","0.0"
"2026-06-12 09:38:41.893218","0.0"
"2026-06-12 09:38:51.017999","0.0"
"2026-06-12 09:39:00.092292","0.0"
"2026-06-12 09:39:09.185373","0.0"
"2026-06-12 09:39:25.238292","0.0"
"2026-06-12 09:39:34.338952","0.0"
"2026-06-12 09:39:43.550376","0.0"
"2026-06-12 09:39:52.634683","0.0"
"2026-06-12 09:40:01.779656","0.0"
"2026-06-12 09:40:14.103543","0.0"
"2026-06-12 09:40:23.204510","0.0"
"2026-06-12 09:40:32.293883","0.0"
"2026-06-12 09:40:41.379410","0.0"
"2026-06-12 09:40:50.568057","0.0"
"2026-06-12 09:40:59.665939","0.0"
"2026-06-12 09:41:08.762781","0.0"
"2026-06-12 09:41:17.280391","0.0"
"2026-06-12 09:41:30.623428","0.0"
"2026-06-12 09:41:46.527908","0.0"
"2026-06-12 09:41:56.609595","0.0"
"2026-06-12 09:42:05.708430","0.0"
"2026-06-12 09:42:14.827493","0.0"
"2026-06-12 09:42:23.901449","0.0"
"2026-06-12 09:43:35.715031","0.0"
"2026-06-12 09:43:44.836077","0.0"
"2026-06-12 09:43:53.926451","0.0"
"2026-06-12 09:44:02.994893","0.0"
"2026-06-12 09:44:12.075941","0.0"
"2026-06-12 09:44:21.145830","0.0"
"2026-06-12 09:44:30.204367","0.0"
"2026-06-12 09:44:39.296816","0.0"
"2026-06-12 09:44:48.386868","0.0"
"2026-06-12 09:44:57.550333","0.0"
"2026-06-12 09:45:06.632796","0.0"
"2026-06-12 09:45:15.768597","0.0"
"2026-06-12 09:45:24.846336","0.0"
"2026-06-12 09:45:33.935119","0.0"
"2026-06-12 09:45:43.043330","0.0"
"2026-06-12 09:45:52.114181","0.0"
"2026-06-12 09:46:01.169385","0.0"
"2026-06-12 09:46:10.247934","0.0"
"2026-06-12 09:46:19.343728","0.0"
"2026-06-12 09:46:28.499193","0.0"
"2026-06-12 09:46:38.595553","0.0"
"2026-06-12 09:46:47.681193","0.0"
"2026-06-12 09:46:56.770322","0.0"
"2026-06-12 09:47:05.869916","0.0"
"2026-06-12 09:47:14.989866","0.0"
"2026-06-12 09:47:24.077665","0.0"
"2026-06-12 09:47:33.173377","0.0"
"2026-06-12 09:47:42.288510","0.0"
"2026-06-12 09:47:51.387176","0.0"
"2026-06-12 09:48:00.536358","0.0"
"2026-06-12 09:48:10.624266","0.0"
"2026-06-12 09:48:19.731509","0.0"
"2026-06-12 09:48:28.845588","0.0"
"2026-06-12 09:48:42.706127","0.0"
"2026-06-12 09:48:51.804572","0.0"
"2026-06-12 09:49:00.938346","0.0"
"2026-06-12 09:49:10.033017","0.0"
"2026-06-12 09:49:19.140708","0.0"
"2026-06-12 09:49:28.251173","0.0"
"2026-06-12 09:49:37.400685","0.0"
